id,skos:notation,skos:prefLabel,nypl:deliverableTo,nypl:eddRequestable,nypl:owner
AC,AC,Avery Cold Vault,,false,0002
AD,AD,Avery Drawings & Archives,,false,0002
AH,AH,ANDOVER HARVARD LIBRARY,ND;NG;NH;NJ;NM;NP;SR;OA;OC;OE;OD;ON;OW,true,0004
AJP,AJP,ARNOLD ARBORETUM LIBRARY,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OM;ON;OP;OW;OZ,,0004
AR,AR,Avery Library,NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NN;NO;NP;NR;NS;NT;NV;NX;NY;NZ;SA;SM;SP;SR;OA;OC;OL;ON;OW;OD;OE,true,0002
AS,AS,GORDON MCKAY LIBRARY,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OM;ON;OP;OW;OZ,,0004
AV,AV,Avery Classics,,false,0002
BC,BC,Bibliographic Control (CAMS),,false,0002
BD,BD,ReCAP BorrowDirect,,false,0003
BL,BL,Barnard Library,,false,0002
BR,BR,BR,,false,0002
BS,BS,Business/Manhattanville,,false,0002
BT,BT,Butler Preservation,,false,0002
BU,BU,Butler Library,,false,0002
BZ,BZ,Preservation Project,,false,0002
CA,CA,Science & Engineering Lib (NWC),,false,0002
CD,CD,CD,,false,0002
CF,CF,401 Butler Library (Microforms Reading Room),,false,0002
CH,CH,Business/Uris Hall,,false,0002
CI,CI,CFIA LIBRARY,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OM;ON;OP;OW;OZ,false,0004
CJ,CJ,Journalism Library,,false,0002
CL,CL,CHEMISTRY LIBRARY,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OM;ON;OP;OW;OZ,false,0004
CM,CM,Master Microfilm,,false,0002
CP,CP,CP,,false,0002
CR,CR,Columbia Restricted,NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NN;NO;NP;NR;NS;NT;NV;NX;NY;NZ;SA;SM;SP;SR;OA;OC;OL;ON;OW;OD;OE,true,0002
CS,CS,Shipping & Receiving,,false,0002
CU,CU,CU Standard,NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NN;NO;NP;NR;NS;NT;NV;NX;NY;NZ;SA;SM;SP;SR;OA;OC;OL;ON;OW;OD;OE,true,0002
CV,CV,Butler Media Collection,,false,0002
CX,CX,CX,,false,0002
DL,DL,GSD LOEB LIBRARY,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OE;OL;OM;ON;OP;OW;OZ,true,0004
EA,EA,East Asian Library,,false,0002
EB,EB,ECONOMIC BOTANY LIBRARY,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OM;ON;OP;OW;OZ,,0004
EN,EN,EN,,false,0002
EV,EV,ENV SCI PUB POLICY ARCHIV,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OM;ON;OP;OW;OZ,true,0004
FL,FL,FINE ARTS LIBRARY,NG,true,0004
FV,FV,FINE ARTS LIBRARY VISUAL,,,0004
GC,GC,Government Documents,NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NN;NO;NP;NR;NS;NT;NV;NX;NY;NZ;SA;SM;SP;SR;OA;OC;OL;ON;OW;OD;OE,true,0002
GE,GE,Geology Library,,false,0002
GN,GN,Government Documents,NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NN;NO;NP;NR;NS;NT;NV;NX;NY;NZ;SA;SM;SP;SR;IN;OA;OC;OL;ON;OW;OZ;OP;OM;OD,true,0001
GO,GO,Google Project (deprecated),,false,0001
GP,GP,GP,NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NN;NO;NP;NR;NS;NT;NV;NX;NY;NZ;SA;SM;SP;SR;OA;OC;OL;ON;OW;OD;OE,true,0003
GS,GS,Lamont-Doherty Earth Observatory,,false,0002
GUT,GUT,GUTMAN LIBRARY,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OE;OL;OM;ON;OP;OW;OZ,true,0004
HB,HB,BAKER LIBRARY,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OE;OL;OM;ON;OP;OW;OZ,true,0004
HC,HC,COUNTWAY LIBRARY,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OE;OL;OM;ON;OP;OW;OZ,true,0004
HH,HH,HOUGHTON LIBRARY,NR,,0004
HJ,HJ,SSP GOVT DOCUMENTS,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OE;OL;OM;ON;OP;OW;OZ,true,0004
HK,HK,KSG LIBRARY,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OE;OL;OM;ON;OP;OW;OZ,true,0004
HL,HL,HARVARD LAW LIBRARY,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OE;OL;OM;ON;OP;OW;OZ,true,0004
HR,HR,HSL Restricted,NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NN;NO;NP;NR;NS;NT;NV;NX;NY;NZ;SA;SM;SP;SR;OA;OC;OL;ON;OW;OD;OE,true,0002
HS,HS,CABOT SCIENCE LIBRARY,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OE;OL;OM;ON;OP;OW;OZ,true,0004
HSdupe,HSdupe,CABOT SCIENCE LIBRARY,ND;NG;NH;NJ;NM;NP;SR;OA;OC;OE;OD;ON;OW,true,0004
HT,HT,THEATER COLLECTION,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OM;ON;OP;OW;OZ,,0004
HV,HV,Harvard ReCAP Items,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OE;OL;OM;ON;OP;OW;OZ,true,0004
HW,HW,WIDENER LIBRARY,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OE;OL;OM;ON;OP;OW;OZ,true,0004
HX,HX,HX,,false,0002
HY,HY,HARVARD YENCHING LIBRARY,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OE;OL;OM;ON;OP;OW;OZ,true,0004
ID,ID,NYPL Interlibrary Loan,,false,0001
IN,IN,ReCAP Inter-Library Loan,,false,0003
